r_w,GE,JPM,A,AA,AAPL,Call,Put
0.009578846904095887,-0.050920010944151994,-0.01752848130968976,-0.012387811857113018,0.029870040343660913,0.09210478753391582,0.08062644358968067,0.07540455686458833
0.12244038667196279,0.17505046643098374,0.083268316046883,0.09505742966715847,0.07120837038658645,0.23722734634068732,0.3439563464134578,-0.9931241673095429
-0.11845515551236381,-0.0990469591359936,-0.1262761039478293,-0.23481526927146812,-0.12448285991532182,-0.06792394671053703,-0.10538343952631825,0.9751937704488938
-0.01604156688524533,-0.05572383767227828,0.0036907380501356446,-0.013881121929846916,-0.12568731717208192,0.08047111642566085,-0.06707771445723203,0.6744299389205981
0.05002810502992823,0.07335909964130938,0.018462951725794374,0.023818451320389622,0.058994254966785446,0.09575021259437544,0.21277604688324717,-0.49111620556648433
0.03988928027951342,0.06361282851235783,0.13201162271330613,-0.05324200982858296,-0.022695885354635837,0.09236871577668126,0.19611231923270933,-0.34169267886476157
-0.13232670534228388,-0.12382071047842991,-0.18426019150962236,-0.25845171345058743,-0.1715856860000925,0.013144325753749131,-0.1446068974780677,1.0516475898141573
-0.02196228623123828,0.0007412847332539629,0.01872084216968206,0.0022560413675058993,-0.07089706884403346,-0.07867057408590505,0.05326603731305652,0.24391102780755106
0.008640045517698104,-0.0200313911949076,-0.07421635831231621,0.008612182303688432,0.03075760808878902,0.09526958709354139,0.12171311576453098,-0.04928126846582742
-0.08821025166353533,-0.07870363508157785,-0.13021837566427785,-0.08358535190870454,-0.1848053590592843,-0.0031745089028656355,-0.07658339816290817,0.6385440071429467
-0.015017932434885903,0.022579782281157975,-0.050326162830091836,-0.010763447559905992,-0.031509371454477075,-0.006262579612458353,0.1317136460889118,-0.16168859530484414
-0.1429577266864564,-0.1359696953061582,-0.2131071687297826,-0.14100852799633626,-0.1801703326001497,-0.12483071037061022,-0.20639432256846799,1.426518426969412
0.12361501393597642,0.10702008323034785,-0.032507718306138966,0.300535445638501,0.2699460779256668,-0.001996527886511279,0.20795073590581808,-0.38416891451834956
0.02427755838088626,0.04717078022097288,-0.006527283491726821,-0.038757575076476695,0.08529275827218052,0.03354239858062891,0.12165645215968614,-0.05941455205013105
-0.024065773941414084,-0.0611094309326523,-0.06581257355076264,-0.0177444178431323,-0.07027314272730434,0.07502758847131252,0.058038944194044484,0.27293327506569104
0.022718574461077598,0.06415110080679653,0.015481678324590575,-0.0040472428371522975,0.014961440676567237,0.02283296794886014,0.10493717461956112,-0.0414138608172175
-0.04394876363516508,-0.04363314759510406,-0.11620688855759143,-0.1477661920679123,-0.13784261301209433,0.19428772665286465,-0.005908800800182481,0.5385578076449853
-0.13232670534228388,-0.12382071047842991,-0.18426019150962236,-0.25845171345058743,-0.1715856860000925,0.013144325753749131,-0.1446068974780677,1.0516475898141573
0.022188001476925737,0.07485092853378217,0.03208763147480331,0.04437660122805687,0.01611658234542168,-0.04956581920958292,0.1288990648591968,-0.21703721318955876
-0.02624645383338155,-0.08268496185240082,-0.06541274050707702,-0.028538767822526626,-0.08770711053990088,0.11580614028348356,0.012796927186527259,0.27523695696540035
0.05983125860786291,0.03186594208189675,0.07872618611110616,0.12323044631777337,0.05039277736269376,0.029011253992410117,0.1577251954663394,-0.27731616521059615
0.00036327301908889225,0.05611358747083939,0.020254811404239348,0.06267155758393916,0.017581284294503556,-0.15195132448321544,0.1348455389610431,-0.21591314159202396
-0.027352407813346694,-0.059120064335595024,0.04766666501196348,-0.09453347776134113,-0.0896928709109106,0.03485289656488266,-0.00017603609000651563,0.4126909151366215
0.009712448367343562,0.03950415263373164,-0.015281141220280015,0.0894687077338403,-0.036573843669818855,-0.017320378372196243,0.18758793429312426,-0.394242524281051
-0.017307722821119857,-0.0025308606160232517,-0.08279547388373443,0.012870183029571658,-0.05911879049827862,0.03457293017469287,0.0882089768615775,0.07528760297799827
-0.027740415360786228,-0.009694049880937805,0.0013072499058637264,0.007336739473701836,-0.057446803128351036,-0.10463772709830398,-0.00736288658409591,0.4184589178590462
-0.0018747691647595325,0.037010503577934006,0.05986702761136286,-0.07854289374668766,-0.0738779640899585,0.015036247526368342,-0.05812957794538214,0.6979982956983544
0.008640045517698104,-0.0200313911949076,-0.07421635831231621,0.008612182303688432,0.03075760808878902,0.09526958709354139,0.12171311576453098,-0.04928126846582742
0.11548159205777707,0.021333662484759538,-0.036768171322914545,0.11669139006532124,0.3976094249075104,0.09817933463343588,0.17867048962913676,-0.29661213921968105
0.045694460940380995,-0.007674812182166588,0.09430490745308284,0.11797993490375158,-0.042714023450931664,0.07090085000660262,0.1069467888909442,-0.050291931644233616
-0.027352407813346694,-0.059120064335595024,0.04766666501196348,-0.09453347776134113,-0.0896928709109106,0.03485289656488266,-0.00017603609000651563,0.4126909151366215
0.032528624574527654,0.015611746988408504,-0.016598797849922686,0.01289876258342848,0.1538376170371365,0.0036343884967344757,0.1780071126322508,-0.25927289343618937
-0.03305722569521404,-0.03695024143332104,-0.08048274353333018,-0.07607496530006908,-0.07944411564369602,0.07661265742894251,-0.013355500498393243,0.5565968448192067
0.08797314348808097,0.05325941115177946,0.2142123076074911,0.10323195104842542,-0.004023260176116983,0.07881284887995865,0.1004641449577144,0.053341015409524524
0.02388822683991283,-0.03750442553210087,-0.08651711769895831,0.0574360210079421,0.0693544443990517,0.11527942907770704,0.12079455638971004,-0.03369660949819003
0.0439739226478549,0.0937257434963521,0.07004451453785143,-0.021093980243801158,0.0492869953291748,0.040364539835169744,0.16275983046461961,-0.3016161800666262
0.04502325218234789,-0.05775556227293699,-0.13457723448233117,0.39882917229856335,-0.02419874366669838,0.049410614842363414,0.11101499848829711,-0.09225282253069489
-0.051125630595045005,-0.10419199662928813,-0.07008980341919668,-0.03405521076301077,-0.004503714858326788,-0.06621180702634655,0.036836282478228184,0.2666068352124346
